position,title,type,publication_date,eli
1928,Rozporządzenie Ministra Finansów z dnia 18 grudnia 2024 r. w sprawie wykazu krajów i terytoriów stosujących szkodliwą konkurencję podatkową w zakresie podatku dochodowego od osób prawnych,Rozporządzenie,2024-12-24,DU/2024/1928
1481,Rozporządzenie Ministra Edukacji z dnia 4 października 2024 r. w sprawie trybu wypłaty i szczegółowego trybu zwrotu zasiłku losowego,Rozporządzenie,2024-10-04,DU/2024/1481
1640,Rozporządzenie Ministra Infrastruktury z dnia 5 listopada 2024 r. w sprawie udzielania pomocy publicznej w zakresie wyposażenia pojazdów kolejowych z napędem lub z kabiną sterowniczą w system ERTMS w ramach Krajowego Planu Odbudowy i Zwiększania Odporności,Rozporządzenie,2024-11-08,DU/2024/1640
1959,Rozporządzenie Rady Ministrów z dnia 27 grudnia 2024 r. w sprawie nadania Instytutowi Badań Edukacyjnych w Warszawie statusu państwowego instytutu badawczego,Rozporządzenie,2024-12-30,DU/2024/1959
1960,Rozporządzenie Ministra Klimatu i Środowiska z dnia 24 grudnia 2024 r. zmieniające rozporządzenie w sprawie stawek opłat produktowych dla poszczególnych rodzajów opakowań,Rozporządzenie,2024-12-30,DU/2024/1960
1833,Rozporządzenie Ministra Zdrowia z dnia 10 grudnia 2024 r. zmieniające rozporządzenie w sprawie ogólnych warunków umów o udzielanie świadczeń opieki zdrowotnej,Rozporządzenie,2024-12-12,DU/2024/1833
909,Obwieszczenie Ministra Klimatu i Środowiska z dnia 10 czerwca 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Środowiska w sprawie specjalnego obszaru ochrony siedlisk Uroczyska Płyty Krotoszyńskiej (PLH300002),Obwieszczenie,2024-06-20,DU/2024/909
1670,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 listopada 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o zdrowiu publicznym,Obwieszczenie,2024-11-15,DU/2024/1670
1829,"Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 6 grudnia 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o wsparciu kobiet w ciąży i rodzin ""Za życiem""",Obwieszczenie,2024-12-11,DU/2024/1829
777,"Obwieszczenie Prezydenta Rzeczypospolitej Polskiej z dnia 12 kwietnia 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Prezydenta Rzeczypospolitej Polskiej w sprawie przekazania rozpoznawania innym wojewódzkim sądom administracyjnym niektórych spraw z zakresu działania Szefa Krajowej Administracji Skarbowej, Dyrektora Krajowej Informacji Skarbowej, Prezesa Zakładu Ubezpieczeń Społecznych oraz Prezesa Kasy Rolniczego Ubezpieczenia Społecznego",Obwieszczenie,2024-05-23,DU/2024/777
1455,Obwieszczenie Ministra Sprawiedliwości z dnia 23 września 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Sprawiedliwości w sprawie sposobu i trybu wykonywania czynności przez kuratorów sądowych w sprawach karnych wykonawczych,Obwieszczenie,2024-10-02,DU/2024/1455
1488,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 30 września 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o sporcie,Obwieszczenie,2024-10-07,DU/2024/1488
1516,"Obwieszczenie Ministra Sprawiedliwości z dnia 29 września 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Sprawiedliwości w sprawie trybu, sposobu i zakresu uzyskiwania i udostępniania informacji z Rejestru z dostępem ograniczonym oraz sposobu zakładania konta użytkownika",Obwieszczenie,2024-10-15,DU/2024/1516
779,Obwieszczenie Prezydenta Rzeczypospolitej Polskiej z dnia 12 kwietnia 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Prezydenta Rzeczypospolitej Polskiej - Regulamin wewnętrznego urzędowania wojewódzkich sądów administracyjnych,Obwieszczenie,2024-05-23,DU/2024/779
1699,Obwieszczenie Ministra Zdrowia z dnia 6 listopada 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Zdrowia w sprawie komisji bioetycznej oraz Odwoławczej Komisji Bioetycznej,Obwieszczenie,2024-11-21,DU/2024/1699
875,Obwieszczenie Ministra Zdrowia z dnia 29 maja 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Zdrowia w sprawie programu pilotażowego w centrach zdrowia psychicznego,Obwieszczenie,2024-06-14,DU/2024/875
579,Obwieszczenie Ministra Infrastruktury z dnia 10 kwietnia 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Gospodarki Morskiej i Żeglugi Śródlądowej w sprawie opracowywania map zagrożenia powodziowego oraz map ryzyka powodziowego,Obwieszczenie,2024-04-16,DU/2024/579
1050,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 10 lipca 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o Radzie Ministrów,Obwieszczenie,2024-07-16,DU/2024/1050
989,"Obwieszczenie Ministra Edukacji z dnia 24 czerwca 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Edukacji i Nauki w sprawie przeprowadzania postępowania rekrutacyjnego oraz postępowania uzupełniającego do publicznych przedszkoli, szkół, placówek i centrów",Obwieszczenie,2024-07-05,DU/2024/989
1220,"Obwieszczenie Ministra Finansów z dnia 30 lipca 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Finansów w sprawie przypadków i trybu zwrotu podatku od towarów i usług przedstawicielstwom dyplomatycznym, urzędom konsularnym, członkom personelu tych przedstawicielstw i urzędów, a także innym osobom zrównanym z nimi na podstawie ustaw, umów lub zwyczajów międzynarodowych",Obwieszczenie,2024-08-09,DU/2024/1220
1805,Obwieszczenie Ministra Spraw Wewnętrznych i Administracji z dnia 28 listopada 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Spraw Wewnętrznych i Administracji w sprawie otrzymywania wyżywienia przez funkcjonariuszy Służby Ochrony Państwa,Obwieszczenie,2024-12-06,DU/2024/1805
1812,Obwieszczenie Ministra Klimatu i Środowiska z dnia 27 listopada 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Środowiska w sprawie specjalnego obszaru ochrony siedlisk Niecka Skaliska (PLH280049),Obwieszczenie,2024-12-09,DU/2024/1812
1712,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 listopada 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o Państwowej Inspekcji Pracy,Obwieszczenie,2024-11-30,DU/2024/1712
1536,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 10 października 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o rejestracji jachtów i innych jednostek pływających o długości do 24 m,Obwieszczenie,2024-10-16,DU/2024/1536
1089,Ustawa z dnia 28 czerwca 2024 r. o zmianie ustawy o finansach publicznych oraz niektórych innych ustaw,Ustawa,2024-07-22,DU/2024/1089
1907,Ustawa z dnia 5 grudnia 2024 r. o ochronie ludności i obronie cywilnej,Ustawa,2024-12-23,DU/2024/1907
1965,Ustawa z dnia 6 grudnia 2024 r. o zmianie ustawy o dniach wolnych od pracy oraz niektórych innych ustaw,Ustawa,2024-12-30,DU/2024/1965
851,"Ustawa z dnia 15 maja 2024 r. o zmianie zakresu obowiązywania Umowy o utworzeniu Europejskiego Banku Odbudowy i Rozwoju, sporządzonej w Paryżu dnia 29 maja 1990 r.",Ustawa,2024-06-10,DU/2024/851
1761,Ustawa z dnia 8 listopada 2024 r. o zmianie ustawy o działalności pożytku publicznego i o wolontariacie oraz ustawy o kołach gospodyń wiejskich,Ustawa,2024-12-02,DU/2024/1761
1823,Ustawa z dnia 19 listopada 2024 r. o likwidacji Fundacji Platforma Przemysłu Przyszłości,Ustawa,2024-12-11,DU/2024/1823
1827,Ustawa z dnia 21 listopada 2024 r. o zmianie ustawy o pomocy osobom uprawnionym do alimentów,Ustawa,2024-12-11,DU/2024/1827
1871,Ustawa z dnia 6 grudnia 2024 r. o zmianie ustawy - Kodeks pracy oraz niektórych innych ustaw,Ustawa,2024-12-18,DU/2024/1871
1911,Ustawa z dnia 21 listopada 2024 r. o zmianie ustawy o gospodarce opakowaniami i odpadami opakowaniowymi oraz niektórych innych ustaw,Ustawa,2024-12-23,DU/2024/1911
879,Ustawa z dnia 23 maja 2024 r. o zmianie ustawy o wymianie informacji podatkowych z innymi państwami oraz niektórych innych ustaw,Ustawa,2024-06-17,DU/2024/879
